#ilkid,year,firstname,lastname,conference,leag,gp,minutes,pts,dreb,oreb,reb,asts,stl,blk,turnover,pf,fga,fgm,fta,ftm,tpa,tpm
MULLICH01,1989,Chris,Mullin,west,N,1,16,3,NULL,NULL,3,1,NULL,NULL,NULL,NULL,5,1,2,1,NULL,NULL
MULLICH01,1988,Chris,Mullin,west,N,1,14,4,NULL,NULL,2,2,NULL,NULL,NULL,NULL,4,1,2,2,NULL,NULL
MULLICH01,1992,Chris,Mullin,west,N,1,99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0
MULLIJE01,1970,Jeff,Mullins,west,N,1,3,0,NULL,NULL,0,0,NULL,NULL,NULL,NULL,0,0,0,0,NULL,NULL
MULLIJE01,1969,Jeff,Mullins,west,N,1,14,8,NULL,NULL,1,1,NULL,NULL,NULL,NULL,6,4,0,0,NULL,NULL
MULLIJE01,1968,Jeff,Mullins,west,N,1,25,14,NULL,NULL,4,5,NULL,NULL,NULL,NULL,14,7,0,0,NULL,NULL
MURPHCA01,1978,Calvin,Murphy,east,N,1,15,6,NULL,NULL,1,5,NULL,NULL,NULL,NULL,5,3,0,0,NULL,NULL
MUTOMDI01,2000,Dikembe,Mutombo,east,N,1,28,6,19,3,22,0,2,3,2,5,2,2,2,2,0,0
MUTOMDI01,1999,Dikembe,Mutombo,east,N,1,16,4,6,2,8,0,0,0,2,0,4,2,0,0,0,0
MUTOMDI01,1997,Dikembe,Mutombo,east,N,1,19,9,6,1,7,0,0,1,0,3,5,4,2,1,0,0
MUTOMDI01,1996,Dikembe,Mutombo,east,N,1,15,3,6,2,8,0,0,1,1,0,5,1,2,1,0,0
MUTOMDI01,1995,Dikembe,Mutombo,west,N,1,11,4,NULL,NULL,9,0,NULL,NULL,NULL,NULL,4,2,0,0,NULL,NULL
MUTOMDI01,1994,Dikembe,Mutombo,west,N,1,20,12,NULL,NULL,8,1,NULL,NULL,NULL,NULL,8,6,0,0,NULL,NULL
MUTOMDI01,1991,Dikembe,Mutombo,west,N,1,10,4,NULL,NULL,2,1,NULL,NULL,NULL,NULL,4,2,0,0,NULL,NULL
MUTOMDI01,2001,Dikembe,Mutombo,east,N,1,21,8,4,6,10,0,0,1,2,0,5,3,2,2,0,0
NANCELA01,1992,Larry,Nance,east,N,1,12,7,NULL,NULL,3,1,NULL,NULL,NULL,NULL,4,3,2,1,NULL,0
NANCELA01,1988,Larry,Nance,east,N,1,17,10,NULL,NULL,6,1,NULL,NULL,NULL,NULL,9,5,0,0,NULL,NULL
NANCELA01,1984,Larry,Nance,west,N,1,15,16,NULL,NULL,5,0,NULL,NULL,NULL,NULL,8,7,2,2,NULL,NULL
NASHST01,2002,Steve,Nash,west,N,1,16,2,3,2,5,3,1,0,4,1,3,1,1,0,2,0
NASHST01,2001,Steve,Nash,west,N,1,24,8,1,2,3,9,1,0,0,1,9,3,0,0,4,2
NASHST01,2009,Steve,Nash,West,N,1,20,4,0,1,1,13,0,0,2,0,4,2,0,0,0,0
NASHST01,2007,Steve,Nash,West,N,1,19,8,0,0,0,6,0,1,1,3,8,4,0,0,1,0
NASHST01,2005,Steve,Nash,west,N,1,28,2,4,1,5,6,1,0,2,2,2,1,0,0,0,0
NASHST01,2004,Steve,Nash,west,N,1,18,2,0,0,0,6,0,0,3,0,2,1,0,0,1,0
NATERSW01,1973,Swen,Nater,west,A,1,28,29,9,13,22,0,0,2,2,2,24,13,4,3,0,0
NATERSW01,1974,Swen,Nater,west,A,1,26,12,3,2,5,1,0,0,2,3,13,5,2,2,0,0
NATTCA01,1984,Calvin,Natt,west,N,1,11,3,NULL,NULL,3,1,NULL,NULL,NULL,NULL,3,1,2,1,NULL,NULL
NAULLWI01,1961,Willie,Naulls,east,N,1,21,11,NULL,NULL,7,0,NULL,NULL,NULL,NULL,16,5,1,1,NULL,NULL
NAULLWI01,1960,Willie,Naulls,east,N,1,16,8,NULL,NULL,6,2,NULL,NULL,NULL,NULL,6,4,1,0,NULL,NULL
NAULLWI01,1959,Willie,Naulls,east,N,1,26,13,NULL,NULL,10,0,NULL,NULL,NULL,NULL,19,5,4,3,NULL,NULL
NAULLWI01,1957,Willie,Naulls,east,N,1,15,8,NULL,NULL,3,0,NULL,NULL,NULL,NULL,9,3,2,2,NULL,NULL
NETOLBO01,1967,Bob,Netolicky,east,A,1,19,12,8,3,11,1,NULL,NULL,1,1,8,4,4,4,0,0
NETOLBO01,1968,Bob,Netolicky,east,A,1,26,13,9,3,12,1,NULL,NULL,1,2,9,5,5,3,0,0
NETOLBO01,1969,Bob,Netolicky,east,A,1,33,15,NULL,NULL,8,2,NULL,NULL,NULL,2,18,7,4,1,0,0
NETOLBO01,1970,Bob,Netolicky,west,A,1,22,6,4,0,4,1,NULL,NULL,1,2,4,3,2,0,0,0
NIXONNO01,1984,Norm,Nixon,west,N,1,19,11,NULL,NULL,2,8,NULL,NULL,NULL,NULL,7,5,2,1,NULL,NULL
NIXONNO01,1981,Norm,Nixon,West,N,1,19,14,0,0,0,2,0,0,0,0,14,7,0,0,0,0
NOBLECH01,1959,Chuck,Noble,west,N,1,11,0,NULL,NULL,1,3,NULL,NULL,NULL,NULL,5,0,0,0,NULL,NULL
